Isolate	Distance to 493	Distance to 494	Distance to 495	Distance to 492	Distance to 483	Distance to 488	Distance to 491	Distance to 496	Distance to 482	Distance to 484	Distance to 487	Distance to 497	Distance to 489	Distance to 490	Distance to 486	Distance to 480	Distance to 481
493	0	0.00000855179	0.00000887463	0.00167902	0.00163951	0.00157092	0.00156015	0.00156145	0.0015607	0.00156108	0.00156238	0.001562	0.00156015	0.00156089	0.00156145	0.00156182	0.00156275
494	0.00000855179	0	0.00000290362	0.00167339	0.00163334	0.00156497	0.00155384	0.00155495	0.00155421	0.00155476	0.00155588	0.00155551	0.00155291	0.00155439	0.00155495	0.00155495	0.00155588
495	0.00000887463	0.00000290362	0	0.00167489	0.00163483	0.00156646	0.00155514	0.00155569	0.00155569	0.00155551	0.00155736	0.00155699	0.00155439	0.00155588	0.00155569	0.00155643	0.00155736
492	0.00167902	0.00167339	0.00167489	0	0.000204179	0.000133077	0.000126057	0.000125405	0.000125894	0.000126384	0.000125078	0.000125894	0.000124915	0.000123284	0.0001272	0.000127363	0.000128179
483	0.00163951	0.00163334	0.00163483	0.000204179	0	0.0000954216	0.0000871258	0.0000845245	0.0000853373	0.0000858251	0.0000838743	0.0000837117	0.0000863128	0.0000856625	0.0000840368	0.0000809488	0.0000804613
488	0.00157092	0.00156497	0.00156646	0.000133077	0.0000954216	0	0.0000133954	0.000012588	0.0000130725	0.0000135569	0.0000122651	0.0000130725	0.0000121036	0.000010489	0.0000143644	0.0000145259	0.0000153335
491	0.00156015	0.00155384	0.00155514	0.000126057	0.0000871258	0.0000133954	0	0.00000435572	0.0000048398	0.00000467844	0.00000403301	0.0000048398	0.00000451708	0.00000354897	0.00000548527	0.00000629216	0.00000709912
496	0.00156145	0.00155495	0.00155569	0.000125405	0.0000845245	0.000012588	0.00000435572	0	0.00000467844	0.00000387166	0.00000258095	0.00000306495	0.00000371032	0.00000274229	0.00000467844	0.0000048398	0.00000435572
482	0.0015607	0.00155421	0.00155569	0.000125894	0.0000853373	0.0000130725	0.0000048398	0.00000467844	0	0.00000177434	0.00000435572	0.00000419437	0.00000354897	0.00000258095	0.00000354897	0.00000435572	0.00000516253
484	0.00156108	0.00155476	0.00155551	0.000126384	0.0000858251	0.0000135569	0.00000467844	0.00000387166	0.00000177434	0	0.0000048398	0.00000467844	0.00000467844	0.00000371032	0.00000338763	0.0000048398	0.00000564664
487	0.00156238	0.00155588	0.00155736	0.000125078	0.0000838743	0.0000122651	0.00000403301	0.00000258095	0.00000435572	0.0000048398	0	8.06482e-7	0.00000338763	0.00000241963	0.00000403301	0.00000419437	0.00000371032
497	0.001562	0.00155551	0.00155699	0.000125894	0.0000837117	0.0000130725	0.0000048398	0.00000306495	0.00000419437	0.00000467844	8.06482e-7	0	0.00000419437	0.00000322629	0.00000387166	0.00000403301	0.00000354897
489	0.00156015	0.00155291	0.00155439	0.000124915	0.0000863128	0.0000121036	0.00000451708	0.00000371032	0.00000354897	0.00000467844	0.00000338763	0.00000419437	0	0.00000161302	0.0000048398	0.0000053239	0.00000613078
490	0.00156089	0.00155439	0.00155588	0.000123284	0.0000856625	0.000010489	0.00000354897	0.00000274229	0.00000258095	0.00000371032	0.00000241963	0.00000322629	0.00000161302	0	0.00000387166	0.00000467844	0.00000548527
486	0.00156145	0.00155495	0.00155569	0.0001272	0.0000840368	0.0000143644	0.00000548527	0.00000467844	0.00000354897	0.00000338763	0.00000403301	0.00000387166	0.0000048398	0.00000387166	0	0.00000306495	0.00000387166
480	0.00156182	0.00155495	0.00155643	0.000127363	0.0000809488	0.0000145259	0.00000629216	0.0000048398	0.00000435572	0.0000048398	0.00000419437	0.00000403301	0.0000053239	0.00000467844	0.00000306495	0	8.06482e-7
481	0.00156275	0.00155588	0.00155736	0.000128179	0.0000804613	0.0000153335	0.00000709912	0.00000435572	0.00000516253	0.00000564664	0.00000371032	0.00000354897	0.00000613078	0.00000548527	0.00000387166	8.06482e-7	0
