Isolate	Distance to 539	Distance to 542	Distance to 540	Distance to 541	Distance to 538	Distance to 552	Distance to 556	Distance to 550	Distance to 558	Distance to 555	Distance to 553	Distance to 551	Distance to 548	Distance to 559	Distance to 544	Distance to 554	Distance to 537	Distance to 543	Distance to 546	Distance to 547	Distance to 549	Distance to 545	Distance to 557
539	0	0.00000580802	0.0000158181	0.0000208266	0.0000234126	0.0000305271	0.0000297184	0.0000266459	0.0000268076	0.0000298802	0.0000290715	0.0000281012	0.0000272927	0.000027131	0.0000272927	0.0000281012	0.0000284246	0.0000282629	0.000027131	0.0000274544	0.0000292332	0.0000284246	0.0000276161
542	0.00000580802	0	0.0000164642	0.0000201802	0.0000221195	0.0000272927	0.0000281012	0.0000302037	0.000029395	0.0000314977	0.0000303654	0.0000297184	0.0000292332	0.0000290715	0.0000289098	0.000029395	0.0000306889	0.0000302037	0.000029395	0.0000287481	0.0000276161	0.0000274544	0.0000269693
540	0.0000158181	0.0000164642	0	0.0000124265	0.000017595	0.0000259991	0.0000251908	0.0000269693	0.0000277778	0.0000272927	0.0000261608	0.0000248674	0.0000247058	0.0000248674	0.0000263225	0.0000264842	0.0000258375	0.0000276161	0.0000264842	0.0000264842	0.0000247058	0.0000242208	0.0000243825
541	0.0000208266	0.0000201802	0.0000124265	0	0.0000229276	0.000027131	0.0000272927	0.0000284246	0.0000272927	0.0000300419	0.0000302037	0.0000298802	0.0000303654	0.0000302037	0.0000287481	0.0000289098	0.0000298802	0.0000281012	0.0000285863	0.0000285863	0.0000300419	0.0000279395	0.0000277778
538	0.0000234126	0.0000221195	0.000017595	0.0000229276	0	0.0000116192	0.0000114577	0.000012588	0.0000137184	0.000012911	0.0000111348	0.0000111348	0.0000103275	0.000010489	0.0000112963	0.0000117806	0.0000127495	0.0000116192	0.0000130725	0.0000130725	0.0000106504	0.0000114577	0.0000112963
552	0.0000305271	0.0000272927	0.0000259991	0.000027131	0.0000116192	0	0.00000209698	0.00000709912	0.00000822895	0.0000048398	0.00000564664	0.00000500116	0.00000516253	0.0000053239	0.00000580802	0.00000629216	0.00000435572	0.00000516253	0.00000467844	0.0000053239	0.00000387166	0.0000053239	0.00000516253
556	0.0000297184	0.0000281012	0.0000251908	0.0000272927	0.0000114577	0.00000209698	0	0.00000564664	0.00000742192	0.0000053239	0.00000580802	0.0000048398	0.00000403301	0.00000419437	0.0000059694	0.00000645355	0.00000354897	0.00000467844	0.00000419437	0.0000048398	0.00000435572	0.00000451708	0.00000371032
550	0.0000266459	0.0000302037	0.0000269693	0.0000284246	0.000012588	0.00000709912	0.00000564664	0	0.00000177434	0.00000580802	0.00000467844	0.00000403301	0.00000290362	0.00000274229	0.00000387166	0.00000435572	0.00000467844	0.00000516253	0.00000500116	0.00000500116	0.0000048398	0.0000059694	0.00000516253
558	0.0000268076	0.000029395	0.0000277778	0.0000272927	0.0000137184	0.00000822895	0.00000742192	0.00000177434	0	0.00000661494	0.00000451708	0.0000048398	0.00000371032	0.00000354897	0.00000274229	0.00000354897	0.00000580802	0.00000435572	0.00000451708	0.00000354897	0.00000564664	0.00000451708	0.00000403301
555	0.0000298802	0.0000314977	0.0000272927	0.0000300419	0.000012911	0.0000048398	0.0000053239	0.00000580802	0.00000661494	0	0.00000435572	0.00000338763	0.00000387166	0.00000403301	0.00000451708	0.00000500116	0.00000371032	0.00000451708	0.00000403301	0.00000435572	0.00000645355	0.00000629216	0.00000613078
